© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cellular Movement	chemotaxis	Chemotaxis of myeloid cells	2,66E-03	2,99E-01	Decreased	-2,273	CD47,CORO1A,CXCR3,CXCR4,DUSP1,FGR,GNAI2,GRN,GSN,HCK,ITGB2,LITAF,LSP1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,PTPRC,RAC1,RAC2,RHOA,SERPINB1,SPI1,SYK,TMSB10/TMSB4X,TNF	29
Cellular Function and Maintenance,Molecular Transport	flux	Flux of inorganic cation	2,72E-03	2,99E-01	 	-1,853	ANXA2,CD19,CD79A,CXCR3,CXCR4,EFHD2,FGR,HCK,IRAG2,ITGB2,LAT2,MS4A1,NEAT1,NME2,PAK2,PARP1,PPIA,PTPRC,RAC1,RAC2,SYK,TNF,UCP2,UNC93B1	24
Cancer,Organismal Injury and Abnormalities	carcinoma	Advanced stage carcinoma	2,73E-03	2,99E-01	 	 	ANXA2,CARD16,CD47,CXCR3,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,IFI30,JAK1,LIMD2,MYL12A,PARP1,PPIA,PSMB2,PTPRC,S100A11,TMSB10/TMSB4X,TNF,TPT1,TXNIP,YWHAE	25
Digestive System Development and Function,Hepatic System Development and Function,Organ Morphology,Organismal Development	mass	Mass of liver	2,77E-03	2,99E-01	 	 	DECR1,DUSP1,EIF6,FABP5,FDFT1,GRN,IDS,PARP1,PRDX5,PSAP,SPI1,TKT,TNF,TNFRSF1B	14
Cell Morphology,Cellular Assembly and Organization,Cellular Function and Maintenance	reorganization	Reorganization of actin cytoskeleton	2,77E-03	2,99E-01	Decreased	-2,606	ARHGDIB,CD47,CD99,CFL1,CXCR3,FLNA,GRB2,HCK,ILK,LCP1,PLEK,PTPN1,RAC1,RHOA	14
Cardiovascular System Development and Function,Cellular Movement	migration	Migration of vascular endothelial cells	2,77E-03	2,99E-01	 	-0,997	ANXA2,CD82,CNN2,CYTOR,GLUL,HHEX,PKM,PTPN1,PTPN6,RAC1,RHOA,TAGLN2,TMSB10/TMSB4X,TNF	14
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	rheumatic disease	Rheumatic Disease	2,83E-03	3,03E-01	 	-1,585	ACTB,ACTR3,ARHGAP30,ARHGDIB,ARPC3,ARPC5,ATP2B1,CD19,CD68,CD79A,CFL1,CIB1,CKS2,CSK,CXCR3,CXCR4,DHRS9,DUSP1,DYNLL1,FDFT1,FDPS,FGR,FIBP,FKBP1A,FTL,GLUL,GNAI2,GOLPH3,GPI,GRN,GSN,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,ILK,ITGB2,ITGB7,JAK1,LBH,LCP1,LY6E,MAP4K1,MAZ,MRPS36,MS4A1,MYL12A,PARP1,PKM,POLR2L,PPIA,PPP1R7,PRDX1,PRDX5,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAB1B,RAC1,RAC2,RHOA,RTF2,S100A10,SF3B6,SLC44A2,SPI1,SUMO1,SYK,TALDO1,TCF4,TCIRG1,TNF,TNFRSF1B,TPI1,TSPO,VIM,WIPF1	85
Immunological Disease,Organismal Injury and Abnormalities	hypersensitive reaction	Hypersensitive reaction	2,91E-03	3,09E-01	Decreased	-2,005	ACTB,CAPZB,CD47,CFL1,CHD4,CORO1A,CXCR4,DUSP1,EEF1A1,FABP5,FGR,FKBP1A,FLNA,GAPDH,GSN,H3-3A/H3-3B,HCK,HLA-DQA1,HLA-DQB1,HLA-DRA,IFI30,IKZF3,ITGB2,ITGB7,JAK1,JPT1,LAPTM5,MALT1,PPIA,PRDX1,PREX1,PSAP,PTPRC,PYCARD,S100A11,SPI1,SRM,SYK,TCIRG1,TKT,TNF,TPI1,TPM3,TSC22D3,VCP,ZYX	46
Cardiovascular System Development and Function,Cellular Movement	movement	Movement of vascular endothelial cells	3,19E-03	3,13E-01	 	-0,747	ANXA2,CD82,CNN2,CYTOR,GLUL,HHEX,MTSS1,PKM,PTPN1,PTPN6,RAC1,RHOA,TAGLN2,TMSB10/TMSB4X,TNF	15
Cellular Development	epithelial-mesenchymal transition	Epithelial-mesenchymal transition of tumor cell lines	3,19E-03	3,13E-01	Decreased	-2,354	CKS2,IGF2BP3,ILK,MEF2A,MRPL52,PDLIM1,PTPN18,PTPN6,RAC1,RHOA,SYK,TLN1,TNF,VIM,ZEB2	15
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	quantity	Quantity of regulatory T lymphocytes	3,19E-03	3,13E-01	 	-1,221	CD19,CXCR3,CXCR4,FABP5,FKBP1A,ITGB2,MALT1,PARP1,PIKFYVE,PTPN22,RHOA,TLN1,TNF,TNFRSF1B,TXNIP	15
Cancer,Organismal Injury and Abnormalities,Respiratory Disease	metastatic non-small cell lung cancer	Metastatic non-small cell lung carcinoma	3,54E-03	3,13E-01	 	 	ANXA2,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,IFI30,JAK1,MYL12A,PARP1,PPIA,TMSB10/TMSB4X,TNF,TPT1	16
Cellular Movement	homing	Homing of tumor cell lines	3,54E-03	3,13E-01	 	-0,824	ANXA2,CD82,CSK,CXCR3,CXCR4,GRB2,HCK,ILK,ITGB7,MS4A1,MTSS1,PPIA,PTPN1,RHOA,SYK,TNF	16
Gastrointestinal Disease,Organismal Injury and Abnormalities	chronic bowel disorder	Chronic bowel disorder	3,54E-03	3,13E-01	 	 	ARHGDIB,CD19,CD53,CD79A,DHRS9,GNAI2,HLA-DMB,HLA-DQA1,HLA-DQB1,IKZF3,ITGB7,LAPTM5,MS4A1,PSMB8,PTPRC,TNF	16
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis of phagocytes	3,54E-03	3,13E-01	Decreased	-2,901	CD47,CNN2,FGR,GLRX,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,NCKAP1L,PTPRC,SPI1,SYK,TNF,UCP2	16
Cell Death and Survival,Cellular Function and Maintenance	clearance	Clearance of cells	3,62E-03	3,13E-01	 	-0,808	ANXA2,CD47,FABP5,FLNA,PAK2,SYK,TNF,UCP2	8
Hematological System Development and Function	bleeding time	Bleeding time	3,62E-03	3,13E-01	 	1,134	ATP2A3,CLIC1,FLNA,GSN,PTPN22,RASGRP2,TLN1,TXNIP	8
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	accumulation	Accumulation of macrophages	3,62E-03	3,13E-01	 	-1,178	GRN,HCK,HMOX1,ITGAX,PFN1,PIKFYVE,TNF,TNFRSF1B	8
Cell Death and Survival	cell death	Cell death of stem cells	3,62E-03	3,13E-01	 	-0,211	H3-3A/H3-3B,HMGA1,MTCH2,NOP53,PCLAF,PFN1,TNF,TPM3	8
Nervous System Development and Function	myelination	Myelination of nervous system	3,62E-03	3,13E-01	 	-1,083	CHD4,CXCR4,ILK,MEF2C,OGT,RAC1,TNF,TNFRSF1B	8
Cellular Assembly and Organization	disassembly	Disassembly of organelle	3,63E-03	3,13E-01	Decreased	-2,537	CAP1,CFL1,CIB1,DENR,GSN,ILK,PLEK,PPP1CA,RAC1,VIM,WDR1	11
Cellular Movement,Embryonic Development	cell movement	Cell movement of embryonic cells	3,63E-03	3,13E-01	 	-0,894	ARPC3,CAPNS1,CFL1,CXCR4,GRB2,PFN1,RAC1,RHOA,TLN1,TNF,ZEB2	11
Behavior	emotional behavior	Emotional behavior	3,63E-03	3,13E-01	 	0,461	ATP2A3,CD47,DBI,GNAI2,GRN,HMOX1,MEF2C,PREX1,TCF4,TNF,VDAC1	11
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	migration	Migration of macrophages	3,63E-03	3,13E-01	Decreased	-2,434	CNN2,CXCR4,FLNA,HCK,HMOX1,NCKAP1L,PARP1,RAC1,RAC2,S100A10,TNF	11
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell rolling	Cell rolling of leukocytes	3,63E-03	3,13E-01	 	-1,263	CD53,FGR,GNAI2,HCK,ITGB2,ITGB7,PRDX1,PREX1,RAC2,TLN1,TNF	11
Cellular Assembly and Organization	formation	Formation of cytoskeleton	3,64E-03	3,13E-01	Decreased	-2,908	ACTB,ACTG1,ARPC2,BRK1,CFL1,CORO1A,DBNL,DYNLL1,FLNA,GNAI2,GNG5,GPI,GRB2,GSN,HCK,MS4A1,MTSS1,NCKAP1L,PAK2,PFDN5,PFN1,PREX1,PYCARD,RAC1,RHOA,S100A10,TNF,TPM3,TWF2,VASP,WASF2,WIPF1,ZYX	33
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	dextran sodium sulfate-induced colitis	Dextran sodium sulfate-induced colitis	3,83E-03	3,13E-01	 	-0,689	ARHGDIB,CD19,CD47,CD53,CD79A,DHRS9,HLA-DMB,HLA-DQA1,HLA-DQB1,IKZF3,LAPTM5,MS4A1,PARP1,PSMB8,PTPRC,PYCARD,UNC93B1	17
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	adhesion	Adhesion of granulocytes	3,83E-03	3,13E-01	Decreased	-2,617	CD99,CORO1A,CSK,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,LCP1,PREX1,PTPN22,PTPN6,RASGRP2,SLC44A2,TLN1,TNF	17
Cell Morphology,Cellular Movement	cell spreading	Cell spreading	3,89E-03	3,13E-01	Decreased	-2,154	ARPC3,CAP1,CD19,CD47,CIB1,CNN2,CORO1A,CSK,FGR,FLNA,HCK,ILK,ITGB2,MAP4K1,OGT,PARVG,PFN1,PREX1,PTPN22,RAC1,RAP1B,RASGRP2,RHOA,RHOG,SYK,TLN1,TNF,TWF2,VASP,VIM,ZYX	31
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	activation	Activation of blood cells	3,93E-03	3,13E-01	 	-0,617	ANXA2,CD19,CD47,CD79A,CLEC2D,CLIC1,CORO1A,CSK,CTSH,CXCR3,DUSP1,FKBP1A,FUT8,GNAI2,GRN,GSN,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSH2D,HSPA4,HVCN1,IGF2BP3,ITGB2,LAPTM5,LAT2,MALT1,MEF2C,MS4A1,PAK2,PARK7,PARP1,PLEK,PPIA,PRDX1,PREX1,PSAP,PSMB8,PTPN22,PTPN6,PTPRC,PYCARD,RASGRP1,RHOA,SIGLEC10,SYK,TCIRG1,TLN1,TNF,TNFRSF1B,TPT1,TRAPPC1,TXNIP,UNC93B1,VASP,VSIR	61
Cellular Function and Maintenance,Molecular Transport	transcytosis	Transcytosis	3,97E-03	3,13E-01	 	-0,447	CD79A,CXCR4,FLNA,RAC1,RHOA,TNF	6
Cell Death and Survival	quantity	Quantity of apoptotic cells	3,97E-03	3,13E-01	 	0,246	CAPNS1,GRN,ILK,TNF,TNFRSF1B,TPT1	6
Cellular Function and Maintenance,Molecular Transport,Small Molecule Biochemistry	homeostasis	Homeostasis of transition metal ion	3,97E-03	3,13E-01	 	 	ATP6V0D1,CYB561A3,FTL,HMOX1,MT2A,NCOA4	6
Cell-To-Cell Signaling and Interaction,Connective Tissue Development and Function,Embryonic Development,Organismal Development,Skeletal and Muscular System Development and Function,Tissue Development	activation	Activation of osteoclasts	3,97E-03	3,13E-01	 	-0,028	CXCR4,JAK1,PPP1R18,PTPN6,SELENOW,TNF	6
Cellular Assembly and Organization,Cellular Compromise	disassembly	Disassembly of actin filaments	3,97E-03	3,13E-01	Decreased	-2,393	CAP1,CFL1,GSN,PLEK,RAC1,WDR1	6
Cellular Movement	movement	Arrest in movement of cells	3,97E-03	3,13E-01	 	 	FLNA,GNAI2,ITGB2,ITGB7,TLN1,TNF	6
Cardiovascular System Development and Function,Embryonic Development,Organ Development,Organismal Development,Tissue Development	formation	Formation of heart ventricle	3,97E-03	3,13E-01	 	 	CXCR4,FKBP1A,HHEX,MEF2C,RHOA,TNFRSF1B	6
Nervous System Development and Function,Tissue Morphology	quantity	Quantity of central nervous system cells	3,97E-03	3,13E-01	 	-0,686	CXCR4,OGT,PSAP,RAC1,SPTAN1,UCP2	6
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	papillary thyroid carcinoma	Invasive papillary thyroid carcinoma	3,97E-03	3,13E-01	 	 	FGR,JAK1,LIMD2,PTPRC,S100A11,VIM	6
Neurological Disease,Organismal Injury and Abnormalities	neurological disorder	Severe neurological disorder	3,97E-03	3,13E-01	 	 	CD52,GRN,SPTAN1,TCF4,TSPO,UGCG	6
Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	inflammation	Inflammation of limb	3,97E-03	3,13E-01	 	 	CSK,ITGB2,LITAF,PPIA,PTPN6,TNF	6
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	osteitis	Osteitis	3,97E-03	3,13E-01	 	 	FGR,JAK1,MS4A1,SYK,TNF,TNFRSF1B	6
Cancer,Organismal Injury and Abnormalities	papillary adenocarcinoma	Metastatic papillary adenocarcinoma	3,97E-03	3,13E-01	 	 	FGR,FKBP1A,JAK1,LIMD2,PTPRC,S100A11	6
Developmental Disorder,Hereditary Disorder,Lipid Metabolism,Metabolic Disease,Organismal Injury and Abnormalities,Small Molecule Biochemistry	Niemann-Pick disease	Niemann-Pick disease	3,97E-03	3,13E-01	 	 	CD47,CD68,GRN,ITGAX,PSAP,UGCG	6
Developmental Disorder,Immunological Disease,Inflammatory Disease,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	multiple sclerosis	Multiple Sclerosis	4,06E-03	3,14E-01	 	 	CD47,CD52,CD68,CXCR3,FDFT1,FDPS,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,LY6E,MS4A1,NCOA3,OAS1,PSMB8,PTPRC,TNF,TSPO	18
Cellular Function and Maintenance	engulfment	Engulfment of antigen presenting cells	4,06E-03	3,14E-01	Decreased	-2,269	CD47,CNN2,FGR,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,NCKAP1L,PTPN6,PTPRC,RAC1,RHOA,RHOG,SPI1,TNF,UCP2	18
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Inflammatory Response	aggregation	Aggregation of blood platelets	4,06E-03	3,14E-01	 	-1,792	ATP2A3,CD47,CLIC1,GNAI2,GSN,PLEK,PPIA,PTPN1,PTPN22,PTPN6,RAP1B,RASGRP1,RASGRP2,RHOG,SYK,TLN1,TNF,VASP	18
Neurological Disease,Organismal Injury and Abnormalities	neurological disorder	Progressive neurological disorder	4,21E-03	3,23E-01	 	0,739	ACTB,ACTG1,ANXA2,AP1S2,ARHGDIB,ARL6IP5,ATP5F1A,ATP5PB,CALM1 (includes others),CAPZB,CD47,CD52,CD68,CFL1,CHI3L2,CIB1,CXCR3,CXCR4,DBI,DBNL,DECR1,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FTL,GAPDH,GLRX,GOLPH3,GRN,GSN,H3-3A/H3-3B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,JPT1,LY6E,MEF2C,MS4A1,NCOA3,NDUFV2,NEAT1,OAS1,OAZ1,OGT,PARK7,PARP15,PFN1,PPIA,PRDX1,PREX1,PSAP,PSMB8,PTPRC,RHOA,S100A10,SCP2,SRPK2,TNF,TPT1,TSPO,VCP,VDAC1,VIM	68
Cell Morphology	shape change	Shape change of blood cells	4,23E-03	3,23E-01	Decreased	-2,139	CD19,CD47,CNN2,CORO1A,FGR,FLNA,HCK,ITGB2,MAP4K1,PTPN22,RAC1,RAP1B,RASGRP2,RHOA,SYK,TLN1,TNF,TWF2,WIPF1	19
Cardiovascular System Development and Function,Cellular Movement	migration	Migration of endothelial cells	4,47E-03	3,28E-01	Decreased	-2,356	ANXA2,ATP5F1A,ATP5F1B,CD82,CNN2,CYTOR,FLNA,GLUL,GPI,GRN,HHEX,MEF2C,PKM,PTPN1,PTPN6,RAC1,RAP1B,RHOA,SEPTIN7,TAGLN2,TMSB10/TMSB4X,TNF,VASP,VIM	24
Cell Morphology,Cellular Assembly and Organization,Cellular Function and Maintenance	formation	Formation of lamellipodia	4,47E-03	3,28E-01	Decreased	-3,160	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC4,BRK1,CAP1,CAPZB,CD82,CFL1,CXCR3,GOLPH3,LCP1,PFN1,PREX1,PTPN22,RAC1,RAC2,RHOA,RHOG,SYK,TWF2,VIM,WASF2	24
Neurological Disease,Organismal Injury and Abnormalities	motor dysfunction or movement disorder	Motor dysfunction or movement disorder	4,48E-03	3,28E-01	Increased	2,079	ACTB,ADD3,ANXA2,AP1S2,ARF5,ARHGDIB,ARL6IP5,ATP2A3,ATP2B1,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MF,ATP5MK,ATP5PB,ATP5PF,CAPNS1,CAPZB,CD68,CLTA,COX5A,COX5B,CXCR3,DBNL,DECR1,EEF1A1,FDFT1,FDPS,FKBP1A,FTL,GAPDH,GPI,GRN,H3-3A/H3-3B,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSBP1,IDS,ITGAX,LY6E,MALT1,MEF2C,MT2A,MYL12A,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,NEAT1,NME1,OGT,PARK7,PARP1,PDLIM1,PFN1,PKM,PLEK,PPIA,PSAP,PSMB8,PSMF1,RASGRP2,RHOG,S100A10,SAT1,SCP2,SEPTIN6,SPTAN1,SRM,SUB1,TCF4,TESC,TNF,TPI1,TPM3,TPT1,TSC22D3,TSPO,UCP2,UGCG,UQCR11,UQCRH,VCP,VIM	88
Cell Signaling,Cellular Function and Maintenance,Molecular Transport,Vitamin and Mineral Metabolism	flux	Flux of Ca2+	4,49E-03	3,28E-01	 	-1,704	ANXA2,CD19,CD79A,CXCR3,CXCR4,EFHD2,FGR,HCK,IRAG2,ITGB2,LAT2,MS4A1,NEAT1,NME2,PAK2,PARP1,PPIA,PTPRC,RAC1,RAC2,SYK,TNF,UNC93B1	23
Cellular Movement	homing	Homing of blood cells	4,50E-03	3,28E-01	Decreased	-2,883	CD47,CORO1A,CUX1,CXCR3,CXCR4,DUSP1,FGR,GNAI2,GRN,GSN,HCK,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RHOA,SERPINB1,SPI1,SUMO1,SYK,TCIRG1,TMSB10/TMSB4X,TNF,WIPF1	37
Cell Cycle	ploidy	Ploidy of cells	4,53E-03	3,28E-01	 	1,311	CIB1,CKS2,JAK1,MAD1L1,NME1,PARP1,PTPN6,RHOA,TCIRG1,TNF,UGCG,YWHAH	12
Nervous System Development and Function	myelination	Myelination	4,53E-03	3,28E-01	 	-1,134	CHD4,CXCR4,ILK,ITGAX,MEF2C,OGT,PIKFYVE,PSAP,RAC1,TNF,TNFRSF1B,UGCG	12
Neurological Disease,Organismal Injury and Abnormalities	injury	Injury of central nervous system	4,53E-03	3,28E-01	 	-0,781	ADD3,CD47,FDPS,GSN,HMOX1,PARK7,PARP1,PYCARD,TNF,TNFRSF1B,TSPO,UCP2	12
Cellular Assembly and Organization,Organismal Development,Tissue Development	fibrogenesis	Fibrogenesis	4,70E-03	3,36E-01	Decreased	-3,468	ACTB,ACTG1,ARPC2,BRK1,CFL1,CHD4,CORO1A,DYNLL1,GNAI2,GNG5,GPI,GRB2,GSN,HCK,MEF2C,MTSS1,NCKAP1L,PAK2,PFDN5,PFN1,PREX1,PYCARD,RAC1,RHOA,S100A10,SPI1,SSNA1,TNF,TNFRSF1B,TPM3,TWF2,VASP,VIM,WASF2,WDR1,ZYX	36
Immunological Disease,Organismal Injury and Abnormalities	immediate hypersensitivity	Immediate hypersensitivity	4,70E-03	3,36E-01	 	-1,706	ACTB,CAPZB,CFL1,CHD4,CORO1A,CXCR4,DUSP1,EEF1A1,FABP5,FGR,FKBP1A,FLNA,GAPDH,GSN,H3-3A/H3-3B,HCK,HLA-DQA1,HLA-DRA,IFI30,ITGB7,JAK1,JPT1,MALT1,PPIA,PRDX1,PREX1,PSAP,S100A11,SPI1,SYK,TKT,TNF,TPI1,TPM3,VCP,ZYX	36
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	atopic disease	Atopic disease	5,12E-03	3,64E-01	 	 	ACTB,CAPZB,CFL1,CHD4,CXCR4,DUSP1,EEF1A1,FABP5,FGR,FKBP1A,FLNA,GAPDH,GSN,H3-3A/H3-3B,HCK,HLA-DQA1,HLA-DRA,IFI30,ITGB7,JAK1,JPT1,PPIA,PRDX1,PREX1,PSAP,S100A11,SPI1,SYK,TKT,TNF,TPI1,TPM3,VCP,ZYX	34
Infectious Diseases,Organismal Injury and Abnormalities	infection	Infection by RNA virus	5,45E-03	3,85E-01	Decreased	-5,197	ACTB,ACTR2,ACTR3,ADK,ANXA2,AP1S2,ARPC1B,ARPC3,ARPC5,ATP5F1A,ATP5F1B,ATP6V0D1,BLOC1S1,CARD16,CD19,CFL1,CLTA,CXCR3,CXCR4,DECR1,DUSP1,EEA1,EEF1A1,FDFT1,FDPS,FKBP1A,FLNA,GABARAPL2,GAPDH,GOLPH3,GRB2,H3-3A/H3-3B,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HSPA4,ITGB2,ITGB7,JAK1,LAPTM5,MS4A1,MT2A,NDUFS6,PARP1,PFN1,PKM,PLAC8,PLEK,PNRC1,POLR2L,PPIA,PSMA2,PSMA5,PSMB8,PSMD4,PTPRC,PYCARD,RAB1B,RAP1B,RHOA,SAMHD1,SAMM50,SAT1,SFT2D1,SPTAN1,SUB1,SUMO2,SYK,TAGLN2,TLE5,TNF,TNFRSF1B,TPT1,TRAPPC1,TSPO,TXNIP,UBE2L3,UGCG,VCP,WASF2,YBX1,YWHAE,ZYX	85
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease	pituitary gland adenoma	Pituitary gland adenoma	5,62E-03	3,85E-01	 	 	ANXA2,CXCR4,GNAI2,H1-2,HMGA1,HMOX1,OGT,RAC2,RALY	9
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	quantity	Quantity of TREG cells	5,62E-03	3,85E-01	 	-1,426	CD19,FABP5,FKBP1A,ITGB2,MALT1,PARP1,PIKFYVE,PTPN22,TLN1	9
Cell-To-Cell Signaling and Interaction	binding	Binding of lymphoma cell lines	5,62E-03	3,85E-01	Decreased	-2,352	ANXA2,CXCR3,HCK,ITGAX,ITGB2,PARVG,PTPN6,RHOA,TNF	9
Organismal Injury and Abnormalities,Renal and Urological Disease	injury	Injury of kidney	5,62E-03	3,85E-01	 	0,113	CXCR4,FKBP1A,GRN,PARP1,PKM,RAC1,TLN1,TNF,TXNIP	9
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	accumulation	Accumulation of antigen presenting cells	5,62E-03	3,85E-01	 	-1,420	CD99,GRN,HCK,HMOX1,ITGAX,PFN1,PIKFYVE,TNF,TNFRSF1B	9
Cell-To-Cell Signaling and Interaction,Inflammatory Response	immune response	Immune response of leukocytes	5,76E-03	3,90E-01	Decreased	-3,628	CD19,CD47,CD68,CD79A,CNN2,FCMR,FGR,GLRX,GRN,GSN,HCK,HLA-DQB1,HMOX1,HSH2D,ITGAX,ITGB2,MALT1,MAP4K1,MYO1G,NCKAP1L,PARP1,PSMB8,PTPRC,PYCARD,SPI1,SYK,TCIRG1,TNF,TNFRSF1B,UCP2,VASP	31
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell movement	Cell movement of phagocytes	5,77E-03	3,90E-01	Decreased	-3,763	ANXA2,CD47,CD99,CNN2,CORO1A,CXCR3,CXCR4,DUSP1,FGR,FLNA,GNAI2,GRN,GSN,HCK,HLA-DQB1,HMOX1,ILK,ITGAX,ITGB2,JAK1,LITAF,LSP1,MALT1,NCKAP1L,PARP1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PREX1,PSMB8,PTPN1,PTPN6,RAC1,RAC2,RAP1B,RASGRP2,RHOA,S100A10,SERPINB1,SPI1,SYK,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	50
Neurological Disease,Organismal Injury and Abnormalities	movement disorder	Movement Disorders	5,88E-03	3,95E-01	 	1,894	ACTB,ADD3,ANXA2,AP1S2,ARF5,ARHGDIB,ARL6IP5,ATP2A3,ATP2B1,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MF,ATP5MK,ATP5PB,ATP5PF,CAPNS1,CAPZB,CD68,COX5A,COX5B,CXCR3,DBNL,DECR1,EEF1A1,FDFT1,FDPS,FKBP1A,FTL,GAPDH,GPI,GRN,H3-3A/H3-3B,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSBP1,IDS,ITGAX,LY6E,MALT1,MEF2C,MT2A,MYL12A,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,NEAT1,NME1,OGT,PARK7,PARP1,PDLIM1,PFN1,PKM,PLEK,PPIA,PSAP,PSMB8,PSMF1,RASGRP2,RHOG,S100A10,SAT1,SCP2,SEPTIN6,SPTAN1,SRM,SUB1,TCF4,TESC,TNF,TPI1,TPM3,TPT1,TSC22D3,TSPO,UCP2,UGCG,UQCR11,UQCRH,VCP,VIM	87
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	adhesion	Adhesion of neutrophils	5,91E-03	3,95E-01	Decreased	-2,516	CD99,CORO1A,FLNA,GLRX,ITGAX,ITGB2,LCP1,PREX1,PTPN22,PTPN6,RASGRP2,SLC44A2,TLN1,TNF	14
Infectious Diseases,Organismal Injury and Abnormalities	sepsis	Sepsis	6,18E-03	4,10E-01	 	-0,466	ACTB,ACTR2,CAP1,CFL1,CSK,GRB2,HCK,HLA-DQB1,ITGB2,MT2A,MYL12A,PARP1,PLEK,POMP,PTPN1,PYCARD,RAP1B,RHOA,SAT1,SERPINB1,SPI1,TERF2IP,TNF,TNFRSF1B,TPM3,TSPO,VASP,YBX1,YWHAH	29
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	chemotaxis	Chemotaxis of phagocytes	6,38E-03	4,20E-01	Decreased	-2,358	CD47,CORO1A,CXCR3,CXCR4,DUSP1,FGR,GNAI2,GRN,GSN,HCK,ITGB2,LITAF,LSP1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,RHOA,SERPINB1,SPI1,SYK,TMSB10/TMSB4X,TNF	28
Cellular Movement	migration	Migration of prostate cancer cell lines	6,40E-03	4,20E-01	 	-0,401	ANXA2,CD82,CD99,CTSH,CXCR4,GRN,HHEX,HMOX1,NCOA3,PAK2,RAC1,S100A11,SMARCC1,TNF,VIM	15
